id,ability,final_result
2,1.00,42.80
3,1.04,76.85
7,1.54,17.00
12,2.09,57.43
14,3.30,31.35
15,2.37,82.75
16,2.35,56.31
18,2.02,76.35
19,2.24,60.55
20,1.43,57.83
23,1.78,58.50
24,2.04,65.41
27,2.20,0
28,2.74,72.91
29,2.26,71.56
33,1.52,10.00
34,2.04,50.42
35,3.11,60.22
36,2.13,0
37,3.39,80.10
38,1.67,57.56
41,2.91,33.25
45,2.26,0
48,1.44,26.00
50,1.76,75.50
51,1.31,47.05
52,1.43,83.66
54,3.06,67.91
56,3.31,64.80
59,2.61,53.90
61,2.31,63.05
62,2.31,62.88
63,1.65,46.80
65,3.57,33.50
68,2.39,65.34
71,1.69,59.92
72,1.37,0
74,4.11,63.92
77,1.19,38.25
79,2.70,2.00
80,3.70,73.80
82,2.43,78.55
84,2.59,0
85,3.80,80.50
88,1.00,84.72
89,1.83,44.53
90,2.39,58.13
94,2.17,40.25
95,2.06,40.28
99,1.59,45.81
100,1.11,59.97
103,1.78,70.31
106,1.33,78.47
107,1.37,44.43
110,2.80,49.00
111,2.17,59.78
118,1.39,14.50
121,1.54,44.15
124,1.81,60.51
125,2.50,70.90
130,1.26,74.51
